N,K,model,μ,Δω,res_size,scaling,knowledge_ratio,data_dim,model_dim,spectral_radius,mean_degree,dt,K_err,omega_err
5,1.0,cartesian_kuramoto,0.0,1.0,300,1.05,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,1.10,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,1.15,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,1.20,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,1.25,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,1.30,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,1.35,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,1.40,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,1.45,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,1.50,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,1.55,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,1.60,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,1.65,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,1.70,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,1.75,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,1.80,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,1.85,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,1.90,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,1.95,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,2.0,0.5,10,10,0.4,3,0.1,0.05,0.05
