N,K,model,μ,Δω,res_size,scaling,knowledge_ratio,data_dim,model_dim,spectral_radius,mean_degree,dt,K_err,omega_err
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.10,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.12,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.14,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.16,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.18,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.20,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.22,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.24,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.26,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.28,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.30,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.32,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.34,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.36,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.38,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.40,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.42,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.44,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.46,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.48,0.05
