N,K,model,μ,Δω,res_size,scaling,knowledge_ratio,data_dim,model_dim,spectral_radius,mean_degree,dt,K_err,omega_err
5,1.0,cartesian_kuramoto,0.0,1.0,50,0.15,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,100,0.15,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,150,0.15,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,200,0.15,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,250,0.15,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,350,0.15,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,400,0.15,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,450,0.15,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,500,0.15,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,550,0.15,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,600,0.15,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,650,0.15,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,700,0.15,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,750,0.15,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,800,0.15,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,850,0.15,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,900,0.15,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,950,0.15,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,1000,0.15,0.5,10,10,0.4,3,0.1,0.05,0.05
