N,K,model,μ,Δω,res_size,scaling,knowledge_ratio,data_dim,model_dim,spectral_radius,mean_degree,dt,K_err,omega_err
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.05,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.10,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.15,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.20,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.25,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.30,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.35,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.40,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.45,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.50,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.55,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.60,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.65,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.70,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.75,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.80,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.85,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.90,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.95,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,1.00,10,10,0.4,3,0.1,0.05,0.05
