N,K,model,μ,Δω,res_size,scaling,knowledge_ratio,data_dim,model_dim,spectral_radius,mean_degree,dt,K_err,omega_err
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,2,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,4,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,5,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,6,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,7,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,8,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,9,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,10,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,11,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,12,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,13,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,14,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,15,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,16,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,17,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,18,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,19,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,20,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,21,0.1,0.05,0.05
