N,K,model,μ,Δω,res_size,scaling,knowledge_ratio,data_dim,model_dim,spectral_radius,mean_degree,dt,K_err,omega_err
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.05,0.10
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.05,0.12
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.05,0.14
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.05,0.16
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.05,0.18
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.05,0.20
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.05,0.22
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.05,0.24
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.05,0.26
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.05,0.28
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.05,0.30
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.05,0.32
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.05,0.34
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.05,0.36
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.05,0.38
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.05,0.40
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.05,0.42
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.05,0.44
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.05,0.46
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.05,0.48
