N,K,model,μ,Δω,res_size,scaling,knowledge_ratio,data_dim,model_dim,spectral_radius,mean_degree,dt,K_err,omega_err
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.1,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.2,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.3,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.5,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.6,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.7,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.8,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.9,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,1.0,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,1.1,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,1.2,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,1.3,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,1.4,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,1.5,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,1.6,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,1.7,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,1.8,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,1.9,3,0.1,0.05,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,2.0,3,0.1,0.05,0.05
