N,K,model,μ,Δω,res_size,scaling,knowledge_ratio,data_dim,model_dim,spectral_radius,mean_degree,dt,K_err,omega_err,reg_param
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.5
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.25
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.1
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.01
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.00001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.000001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0000001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.00000001
