N,K,model,μ,Δω,res_size,scaling,knowledge_ratio,data_dim,model_dim,spectral_radius,mean_degree,dt,K_err,omega_err,reg_param
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,0.1,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,0.3,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,0.4,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,0.5,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,0.6,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,0.7,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,0.8,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,0.9,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,1.0,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,1.1,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,1.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,1.3,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,1.4,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,1.5,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,1.6,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,1.7,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,1.8,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,1.9,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,2.0,3,0.1,0.05,0.05,0.0001
