N,K,model,μ,Δω,res_size,scaling,knowledge_ratio,data_dim,model_dim,spectral_radius,mean_degree,dt,K_err,omega_err,reg_param
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.10,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.20,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.30,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.40,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.50,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.60,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.70,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.80,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.90,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,1.00,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,1.10,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,1.20,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,1.30,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,1.40,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,1.50,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,1.60,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,1.70,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,1.80,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,1.90,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,2.00,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
